Date,RELIANCE.NS,RELI_Return,Excess_Market,Risk_Free_Rate,Excess_RELI,Combined,CPI_Shock,General Index,Monthly change IIP,InterestRate,Interest_Shock,USDINR,Monthly change in USD/INR exchange rate
2019-10-01,664.9561767578125,0.0991555645279997,0.0404057920457973,0.0043036289632507,0.094851935564749,147.2,0.0096021947873798,124.0,0.0089503661513425,6.54,-0.2699999999999996,70.98999786376953,0.0069688496371262
2019-11-01,704.3717651367188,0.0592754677023805,-0.0184222861138094,0.0039055338625042,0.0553699338398763,148.6,0.0095108695652175,128.8,0.0387096774193549,6.63,0.0899999999999998,71.72200012207031,0.0103113435741397
2019-12-01,687.5248413085938,-0.0239176591992653,-0.0028659458707414,0.0042672589180961,-0.0281849181173614,150.4,0.0121130551816959,134.5,0.0442546583850931,6.85,0.2199999999999997,71.31099700927734,-0.005730502664363
2020-01-01,641.0253295898438,-0.0676332096310085,0.0090236392142588,0.0042019084749509,-0.0718351181059594,150.2,-0.0013297872340426,137.4,0.0215613382899628,6.82,-0.0299999999999993,71.63999938964844,0.0046136275493147
2020-02-01,603.3352661132812,-0.0587965275891332,-0.0632532930833221,0.0038184257328353,-0.0626149533219685,149.1,-0.0073235685752329,134.2,-0.0232896652110626,6.66,-0.1600000000000001,72.1500015258789,0.0071189578528132
2020-03-01,505.75,-0.1617430168502015,-0.188519087488325,0.0042506441592598,-0.1659936610094613,148.6,-0.0033534540576793,117.2,-0.126676602086438,6.7,0.04,75.4000015258789,0.0450450440924008
2020-04-01,665.7054443359375,0.3162737406543499,0.138848515285326,0.0033253971527351,0.3129483435016147,151.4,0.018842530282638,54.0,-0.5392491467576792,6.77,0.0699999999999994,75.25849914550781,-0.0018766893568632
2020-05-01,671.2822265625,0.0083772519422993,0.0047710356137855,0.0027037464767021,0.0056735054655972,150.9,-0.0033025099075296,90.2,0.6703703703703705,5.92,-0.8499999999999996,75.51319885253906,0.0033843314698425
2020-06-01,781.1609497070312,0.16368483894948,0.0774826048295392,0.0028454142386253,0.1608394247108547,151.8,0.0059642147117295,107.9,0.1962305986696231,5.86,-0.0599999999999996,75.69999694824219,0.0024737145100672
2020-07-01,947.5604858398438,0.2130156867099149,0.0710402471492599,0.002680004283091,0.2103356824268238,153.9,0.0138339920948615,117.9,0.092678405931418,5.81,-0.0500000000000007,74.98999786376953,-0.0093791164213401
2020-08-01,953.7947387695312,0.0065792664667332,0.0314439535849817,0.0027133853865306,0.0038658810802026,154.7,0.0051981806367771,117.2,-0.0059372349448685,6.01,0.2000000000000001,73.12830352783203,-0.0248259019732144
2020-09-01,1024.22802734375,0.073845331402313,0.0222949329006461,0.0026483947262994,0.0711969366760136,156.4,0.0109890109890111,124.1,0.0588737201365185,6.02,0.0099999999999997,73.84500122070312,0.0098005513364374
2020-10-01,941.7846069335938,-0.080493228274534,0.0042136351491795,0.0026405836827296,-0.0831338119572636,158.4,0.0127877237851663,129.6,0.0443190975020144,5.94,-0.0799999999999991,74.26399993896484,0.0056740295393786
2020-11-01,884.6220092773438,-0.0606960415740587,0.0702837807248751,0.0023462807507794,-0.0630423223248381,158.9,0.0031565656565657,126.7,-0.0223765432098764,5.9,-0.04,73.94090270996094,-0.0043506575092837
2020-12-01,910.0632934570312,0.0287594971783153,0.0804916674162595,0.0028213202118609,0.0259381769664544,157.3,-0.0100692259282567,137.4,0.0844514601420678,5.89,-0.0100000000000006,73.13400268554688,-0.0109127694529128
2021-01-01,844.3515014648438,-0.0722057382872459,-0.0078548712568972,0.0025002724438383,-0.0747060107310842,156.3,-0.0063572790845518,136.6,-0.0058224163027656,5.94,0.0500000000000007,72.90660095214844,-0.0031093844866688
2021-02-01,956.132568359375,0.1323868870969082,0.0620026037544046,0.002489189325525,0.1298976977713832,156.6,0.0019193857965449,129.9,-0.04904831625183,6.19,0.25,73.59590148925781,0.0094545696563441
2021-03-01,918.2227783203124,-0.0396490939578723,0.0298008273178096,0.0028979918506042,-0.0425470858084765,156.8,0.0012771392081738,145.6,0.1208622016936102,6.35,0.1599999999999992,73.44529724121094,-0.0020463673248007
2021-04-01,914.2805786132812,-0.0042932933054029,0.0145744632005391,0.0027000609337965,-0.0069933542391994,157.8,0.0063775510204082,126.1,-0.1339285714285714,6.28,-0.0699999999999994,74.10579681396484,0.0089930818931085
2021-05-01,990.283447265625,0.0831286045336539,0.0743831967560725,0.0028083044997264,0.0803203000339275,160.4,0.0164765525982255,115.1,-0.0872323552735924,6.23,-0.0499999999999998,72.39350128173828,-0.0231060943386804
2021-06-01,967.5238647460938,-0.0229828970507132,0.0309887783532653,0.0027783930154166,-0.0257612900661298,161.3,0.0056109725685786,122.8,0.0668983492615118,6.27,0.0399999999999991,74.28759765625,0.0261639006399254
2021-07-01,936.2359619140624,-0.0323381199907065,0.0175107471350826,0.0027755769106949,-0.0351136969014014,162.5,0.0074395536267823,131.5,0.0708469055374592,6.21,-0.0599999999999996,74.25199890136719,-0.000479201858802
